text;label
"● Objetivo 1: Realizar a análise da qualidade e pertinência dos conjuntos de dados disponíveis para treinamento de modelos inteligentes; 
● Objetivo 2: Investigação de técnicas de IA capazes de gerar prescrições personalizadas e automáticas de programas de exercícios, considerando diversos cenários; 
● Objetivo 3: Desenvolvimento de um serviço, acessado por meio de uma API, capaz de analisar dados do usuário e como seu histórico de treinos, estado de saúde, informações morfológicas, entre outras, capaz de sugerir o programa de exercícios adequado, descrevendo os motivos pelos quais prescreveu tal programa.Um estudo realizado recentemente, pela Fitness Brasil, aponta a expansão das redes de academias no Brasil, especialmente em municípios menores, operando com um modelo de negócios que depende de grande volume de usuários. Este modelo, no entanto, leva a avaliações físicas simplificadas, não personalizadas, o que pode resultar em baixo desempenho ou lesões. Os aplicativos de fitness genéricos também falham em fornecer orientação adaptada às necessidades individuais dos usuários. Em resposta a isso, o projeto proposto visa desenvolver um serviço RESTful, baseado em técnicas de Inteligência Artificial, capaz de gerar prescrições automáticas e personalizadas de programas de exercícios, equilibrando eficácia e segurança, utilizando dados pessoais dos usuários, como histórico de treinos e condições físicas.";Inteligência Artificial
"Investigação e desenvolvimento de modelos de inteligência artificial inovadores aplicados a visão
computacional e compatíveis com limitações de sistemas embarcados, com foco na implementação e
aplicação em dois usos para uma câmera inteligente, visando a melhoria na capacidade de visualização
do estado de topografias de superfície 3D dos materiais com os quais estão trabalhando por meio de
métodos estéreo fotométricos.Projeto de pesquisa e desenvolvimento de uma solução de software inteligente capaz de
processar imagens com alta resolução e precisão, considerando as limitações de processamento
inerentes a sistemas embarcados.";Inteligência Artificial
"Investigação e desenvolvimento de modelos de inteligência artificial aplicados à detecção de anomalias, compatíveis com as limitações de sistemas embarcados, com foco na implementação e aplicação em impressoras corporativas, visando a melhoria na capacidade de identificar e mitigar
ameaças de segurança.Projeto de pesquisa e desenvolvimento de uma solução de software inteligente capaz de
detectar e mitigar anomalias de segurança, considerando as limitações de processamento
inerentes a sistemas embarcados, baseada em tecnologias de IA e Machine Learning.";Inteligência Artificial
"O objeto desta contratação é a execução de atividades de pesquisa e desenvolvimento de software e/ou automação, incluindo investigação, prototipação e testes de soluções, a ser executado pelo Laboratório de Práticas de Software (SPLab), laboratório de pesquisa, desenvolvimento e inovação da Unidade Acadêmica de Sistemas e Computação, integrante da UFCG e do CEEI-EMBRAPII, para contemplar os seguintes objetivos:
● Implementar módulos de software para integrar dados de outros sistemas à base de dados do TEM;
● Investigar e propor estratégias baseadas em Análise de Dados e Inteligência Artificial para extrair informações sobre a performance dos produtos da empresa;
● Desenvolver dashboards analíticos e preditivos utilizando tecnologias Web para visualização dos resultados.O objetivo deste projeto é investigar, propor e desenvolver estratégias baseadas em Análise de Dados e Inteligência Artificial para entender como os produtos são utilizados e descobrir suas respectivas performances na prática. O projeto engloba a integração de dados de vários sistemas da empresa e considera o desenvolvimento de dashboards para visualização dos resultados.";Inteligência Artificial
"O objeto desta contratação é a execução de atividades de pesquisa e desenvolvimento de software e/ou automação, incluindo investigação, prototipação e testes de soluções, a ser executado pelo Laboratório de Práticas de Software (SPLab), laboratório de pesquisa, desenvolvimento e inovação da Unidade Acadêmica de Sistemas e Computação, integrante da UFCG e do CEEI-EMBRAPII, para contemplar os seguintes objetivos:
● Implementar novos comandos do padrão ABECS no aplicativo de linha de comando;
● Desenvolver testes para a BC considerando terminais Android;
● Desenvolver sistema Web para executar testes da BC via browser;
● Investigar e propor estratégias baseadas em Inteligência Artificial para melhorar o processo de desenvolvimento de software para terminais;
● Desenvolver um sistema web para controle de informações sobre terminais internos da Ingenico.O objetivo do projeto é desenvolver e validar testes para bibliotecas baseadas no padrão ABECS considerando Pinpads já existentes e novos modelos Android. Uma aplicação Web deve permitir a execução dos testes diretamente do browser. O projeto também contempla uma investigação na busca por estratégias para auxiliar o processo de desenvolvimento de software baseando-se em ferramentas de Inteligência Artificial e o desenvolvimento de outro sistema Web para controle de informações sobre terminais internos da Ingenico.";Inteligência Artificial
Investigação, concepção e desenvolvimento de um sistema de recomendação inteligente, baseado em dados históricos e comportamentais dos usuários, visando otimizar a tomada de decisões, personalizar a experiência do usuário e melhorar os resultados operacionais e comerciais por meio de modelos de Inteligência Artificial e técnicas avançadas de Análise de Dados e Business Intelligence, proporcionando recomendações personalizadas e alinhadas às demandas e tendências do mercado.Pesquisa e desenvolvimento de uma solução inteligente para recomendação de informações comerciais com base no perfil e padrões comportamentais dos usuários, tendo como base tecnologias de Inteligência Artificial, Análise de Dados e Computação em Nuvem.;Inteligência Artificial
Desenvolvimento e pesquisa de jogos e criação de uma plataforma para fornecer serviços e dashboards que permitam avaliar jogos multiplayer em larga escala. A plataforma será aprimorada para oferecer suporte aos jogadores, incorporando técnicas de Inteligência Artificial para funcionalidades como geração de resumos automáticos e resposta a tickets. Além disso, serão desenvolvidos modelos de predição e classificação com IA para identificar oportunidades de melhoria nos jogos.O mercado de jogos está crescendo a cada ano no país. A EMPRESA possui um conjunto de jogos disponíveis para a comunidade nas lojas virtuais. Atualmente, a EMPRESA possui uma base grande de dados para cada jogo. Objetivo do projeto é evoluir a plataforma de software utilizando técnicas de inteligência artificial, como geração de resumos e reposta a tickets, para ajudar especialmente no player support.;Inteligência Artificial
Desenvolvimento de um pipeline de dados agnósticos que permita a coleta, processamento e análise de dados para otimizar a gestão de manutenção de frotas de caminhões, melhorando a eficiência operacional e reduzindo custos.Desenvolvimento de um pipeline de dados agnósticos que permita a coleta, processamento e análise de dados para otimizar a gestão de manutenção de frotas de caminhões, melhorando a eficiência operacional e reduzindo custos.;Integração de Sistemas
Este projeto consiste numa POC que integre software, as redes de comunicação e o hardware dos dispositivos, com o objetivo de convergir estas tecnologias em uma única plataforma, viabilizando o onboarding e o gerenciamento de frotas de dispositivos.Este projeto consiste numa POC que integre software, as redes de comunicação e o hardware dos dispositivos, com o objetivo de convergir estas tecnologias em uma única plataforma, viabilizando o onboarding e o gerenciamento de frotas de dispositivos.;Integração de Sistemas
Este projeto consiste na construção de uma POC de um modelo de dados unificado, focando na integração de dados e tecnologias, que permita acompanhar as mudanças de desempenho e visualizar o histórico de evolução de alunos.Este projeto consiste na construção de uma POC de um modelo de dados unificado, focando na integração de dados e tecnologias, que permita acompanhar as mudanças de desempenho e visualizar o histórico de evolução de alunos.;Integração de Sistemas
